#Questions for the host, every line that doesn't start with hashtag is treated as a question
#Question Format is as follows :
#Question | Answer

This Question | Won't be visible to anyone, don't include it unless you want it to be skipped
What is the capital city of France? | Paris
What is the result of 2 plus 2? | 4
What color is the sky on a clear day? | Blue
How many days are there in a week? | 7
What is the opposite of the word cold? | Hot
Which common domestic animal is known to meow? | Cat
How many months are there in a single year? | 12
What sweet substance do bees produce? | Honey
Is water a liquid or a solid at room temperature? | Liquid
What is the first letter of the English alphabet? | A
How many legs does a standard spider have? | 8
What is the largest planet in our solar system? | Jupiter
Which language is primarily spoken in the United Kingdom? | English
What do you use to write on a traditional blackboard? | Chalk
